deems	721508
deeps	185944
defer	1021351
deify	54254
deign	214900
deism	130400
deist	73336
deity	2806939
delay	13061271
dells	65907
delta	1987130
delve	338123
demes	53855
demon	1874746
demos	164531
demur	203183
denim	247571
dense	5996161
dents	253062
deoxy	85203
depot	1369944
depth	19324687
derby	111397
dered	107371
desks	986374
deter	1495949
detox	46108
deuce	207980
devas	79902
devel	115101
devil	6378369
dhoti	65928
dials	317328
diary	4267741
diazo	84467
diced	403036
dicey	33582
dicta	384857
didst	702962
diene	78599
diets	1811447
digit	2043305
dikes	470675
dildo	50595
dilly	36234
dimer	356484
dimes	175442
dimly	1220617
dinar	72840
dined	1442600
diner	341663
dines	104495
dingo	54188
dingy	552031
dinna	88702
diode	1411051
dirge	197888
dirty	5707431
disco	314877
discs	1356225
disks	1795912
ditch	2348514
dites	60598
ditto	936467
ditty	148702
divan	268926
dived	500345
diver	598772
dives	383702
dixit	113176
dizzy	796260
docks	1142137
dodge	410383
dodgy	34248
doers	307202
doest	90424
doeth	234434
doggy	56163
dogma	1833042
doing	53449709
dolce	97307
doled	115106
doles	78238
dolls	1184022
dolly	138491
dolor	108833
domed	414073
domes	743513
donee	405116
donna	282610
donne	351678
donor	3672564
donut	82539
dooms	79813
doors	11621250
doped	672051
dopey	35646
dorms	123032
dosed	147744
doses	5747136
doted	90587
doubt	43016792
douce	82876
dough	1763249
douse	56111
doves	570918
dowdy	86001
dowel	216240
dower	544351
downs	962166
downy	326413
dowry	962296
doyen	74206
dozed	308590
dozen	10119414
draft	8706296
drags	416034
drain	4033255
drake	84589
drama	9750760
drams	110555
drank	3954891
drape	234076
drawl	196601
drawn	31974235
draws	5348662
drays	57895
dread	3607470
dream	17073189
drear	100959
dregs	351876
dress	14794107
drest	78609
dried	7894020
drier	714416
dries	534781
drift	4609656
drill	3677739
drily	193013
drink	16037613
drips	188533
drive	22393326
droit	951357
droll	278402
drone	398525
drool	74074
droop	298982
drops	6351646
dropt	104224
dross	252038
drove	10374840
drown	996088
drugs	15729858
druid	49404
drums	2294864
drunk	5156123
dryer	546639
dryly	427352
ducal	308399
ducat	66180
duces	107645
duchy	504380
ducks	1576089
ducts	1708393
dudes	93929
duels	252855
duets	158418
dukes	517282
dulce	66480
dulls	63995
dully	203062
dummy	1284873
dumps	450610
dumpy	80890
dunce	115203
dunes	1052943
dunno	151783
duped	306396
dupes	199301
duple	71474
dural	209031
durst	397302
durum	85094
dusky	781652
dusts	220084
dusty	1851842
dutch	58532
duvet	49382
dwarf	1569151
dwell	4002799
dwelt	2168167
dyads	217863
dyers	111243
dying	10516860
dykes	406911
dynes	134462
eager	7314732
eagle	2297473
eared	317603
earls	374024
early	115507573
earns	785397
earth	47722340
eased	1451623
easel	396878
eases	359373
eaten	5498369
eater	465364
eaves	533151
ebbed	202245
ebony	427796
eclat	104851
edema	2139969
edged	1871304
edges	7974622
edict	1157664
edify	110039
edits	231444
eerie	621985
egged	83745
egret	54768
eider	68277
eidos	53092
eight	37200421
eject	281127
ejido	97705
eking	62436
eland	89685
elate	52080
elbow	3325949
elder	5030349
elect	3942180
elegy	356074
elfin	92871
elide	35139
elite	6380746
elope	91795
elude	551261
elute	64609
elves	236587
email	1429818
embed	242944
ember	103570
emcee	38769
emend	50162
emery	176932
emirs	76669
emits	505942
empty	15686903
enact	1352034
ended	16168374
endow	486818
